
distance,time,avg_speed,hour,day,vehicle_count,road_type,traffic
407.0444334938013,497.84452901607585,49.05681309363038,5,1,65,0,Low
455.80012282257366,671.7672663813751,40.71053881007121,8,3,271,2,High
120.60176289180717,226.56831625776454,31.937853858065417,11,3,298,0,Medium
131.1369578307481,91.22408418054349,86.25153697649331,3,5,228,0,Low
418.0625414425701,371.31579705846724,67.55369064625205,7,1,200,0,Low
481.98324437989817,347.18991232124677,83.29445538738987,16,4,234,2,Low
312.64877495399116,204.0818889212517,91.91862441295761,15,0,223,0,Low
353.6846691402141,333.6628469264151,63.600368887018675,19,2,91,0,Low
134.04762146566557,87.3108829551822,92.11746595288054,18,5,244,1,High
84.02438895466057,115.25229861112926,43.742844160444434,9,6,62,1,Medium
168.43225360460207,142.0662992475382,71.13534504525529,16,5,181,0,Low
163.32166076820928,101.2448895094175,96.78809166146657,6,2,67,1,Low
439.84638811669646,568.1285281737923,46.45213535013465,23,3,298,0,Low
149.7487822073902,185.6371671660384,48.40047426713355,6,2,112,1,Low
150.78908761452232,250.9571417936675,36.05135598934222,6,1,284,2,Low
122.67330195047315,298.0226462931801,24.69744567594903,23,1,218,0,Medium
161.2279441602459,105.20757990577722,91.9484761295564,5,6,248,0,Low
286.5700824836605,698.6292231006588,24.611345160610725,22,1,207,0,Medium
295.39623546512803,463.70565021646064,38.2220361551215,9,1,155,1,High
63.9478991431848,86.92181653505571,44.141667783066524,5,2,284,0,Low
287.4458255893037,439.45970382396365,39.2453491987671,16,2,155,2,Low
451.9591264559785,592.1336372290733,45.79633022413147,0,2,77,2,Low
169.6911917776606,187.97373478938252,54.16433055430638,19,5,108,1,Medium
201.04582199217825,123.19980970427828,97.91207753068306,5,5,149,2,Low
299.1921427660915,506.8131667362805,35.42040685637226,5,6,165,0,Low
66.66908455578601,62.76203089882072,63.73511207430227,12,3,289,0,Low
115.6476769610304,156.47395112565167,44.34514861895308,17,6,125,0,Medium
347.630179688903,702.0454605328142,29.710057188467882,8,6,177,1,High
477.870334393185,1156.764324464091,24.786570139837643,22,1,121,1,Medium
129.8020548028032,116.33867288351692,66.94354590039018,10,3,238,0,High
358.394456578325,713.586702110334,30.134624609883247,23,6,296,2,Medium
98.46299252426226,105.96635396019923,55.75146573104409,4,5,129,2,Low
245.93354213348283,215.2699608573268,68.54654717844598,17,0,208,0,High
392.3150158339968,249.03533762268194,94.5203246043099,21,2,95,2,Low
287.7318279357685,633.2833337758125,27.26095691357271,0,4,189,1,Medium
264.7756851262292,285.10476217642133,55.72176692630354,14,5,154,0,Low
454.9865809853955,778.0340539578297,35.087403591467194,13,6,262,2,Low
141.81187745742727,128.10414976417047,66.42027337217021,4,2,181,1,Low
108.57536890133946,304.6971479454096,21.380318713214628,19,2,237,2,High
158.92427540224975,131.66252626107521,72.42346622779372,23,0,241,0,Low
361.6481682020321,368.4675230498062,58.889559417666405,10,3,164,2,Medium
357.724895655335,296.14475596204466,72.47635930474138,9,0,142,2,Low
495.9815236436721,472.93680130686903,62.92361122329116,4,6,112,2,Low
446.41184222451466,330.42602395858927,81.0611410462866,4,5,202,0,Low
126.97912810389695,91.3715074325847,83.38209470665728,9,0,242,1,High
364.2346122878622,289.8638297657487,75.39428687923204,12,3,291,2,Low
425.1177719181416,264.3908306528461,96.47485221823037,3,1,211,2,Low
369.59389980364153,233.91499269315702,94.80210623911505,15,5,97,0,Low
173.89267382633142,211.16814927381589,49.40877904863852,4,2,236,1,Low
493.2325999752907,952.6307642505262,31.065505239902915,19,6,216,0,High
279.4401972508239,484.11168617468564,34.633354892820094,13,2,87,0,Medium
129.46845370053143,83.8049336748816,92.6927196454566,15,6,168,0,Low
249.1350474377635,509.89292649658637,29.316160451513706,7,5,227,2,Medium
323.5321970092032,256.6243569099016,75.64337249315557,15,0,161,1,Low
155.44417994670007,152.36178822865733,61.21384439781587,2,1,50,1,Low
192.24123927728124,126.35821360115312,91.283930248058,3,5,170,2,Low
479.3797744927657,350.0411483706847,82.16972948308032,13,5,255,0,Low
136.22505554180628,83.80658603169664,97.52817433008262,14,6,102,1,Low
255.35694640055522,208.67919654083792,73.42091132229827,12,3,160,2,Low
103.03410494226995,88.46364237032873,69.88233957919977,18,5,137,1,Low
429.09527286787045,321.15797092822817,80.16527286450516,18,4,179,2,Low
412.44175157028604,279.0496429831695,88.681371635762,21,3,152,1,Low
197.14015597824962,240.1455077307639,49.25517645725128,14,3,55,2,Low
268.5517646208565,773.1207979447278,20.841640685500423,15,3,296,0,Medium
489.86577830996623,1166.628744238846,25.19391609691087,1,4,242,0,Medium
362.2268554542688,349.6060823233888,62.165998894585414,18,5,146,1,Low
475.04259317408525,442.3571122618747,64.4333611925101,11,1,181,2,Low
380.52160964235446,590.8439024008684,38.64184175510197,10,1,161,0,High
175.42573597336974,200.25013555136624,52.561982689406335,19,6,98,2,Medium
187.27981578130536,165.99656322206448,67.69290115871937,8,1,280,2,High
362.2514128205543,273.8310034015918,79.3740829169635,2,5,294,1,Low
208.77622274685157,127.11624453966037,98.54423728591819,22,4,185,2,Low
182.30230128990675,174.87208859388656,62.549364883475164,19,5,175,1,Low
345.9457116127278,430.78038197124096,48.18404821914429,6,3,121,2,Low
149.86319427565547,177.6196037588725,50.62386958562375,7,3,260,0,Low
131.79960005054002,101.2885316992373,78.07375494902102,15,0,244,2,Low
217.9238922709696,220.42281970047185,59.319781654304755,12,1,210,0,Low
299.12897191717,327.6379550145997,54.779179397058684,9,0,110,0,Medium
399.5553868060309,249.10870465671584,96.23639302929331,9,5,78,0,Low
230.1897126008984,243.6662075251822,56.68156818432255,18,6,108,1,Medium
483.38940847407224,304.52585588236195,95.24105736246024,14,4,170,1,Low
432.73248782522467,873.7126874320214,29.716804669307937,6,1,80,2,Medium
466.1162694276706,375.9761029129069,74.38498337788945,6,5,105,1,Low
355.209796651485,255.04136084796903,83.56522145360415,12,4,179,2,Low
426.01920301074733,412.09912646203685,62.02670799157728,11,4,214,2,Low
95.76460310476992,201.4144216560534,28.527630439979994,13,5,67,1,Medium
198.6512562658695,184.00142634110404,64.77708142249097,17,2,292,0,High
59.80748284243693,45.47903273712186,78.90337051115813,2,3,170,2,Low
430.67808636267216,517.079174794253,49.974329737882776,11,3,127,2,Low
301.16497741849275,451.43431992782763,40.027746778309776,14,0,242,2,Low
62.85617878471897,47.18840912525699,79.92154846908285,6,0,115,1,Low
459.60488850418983,550.5007258018262,50.09310981395241,16,2,128,2,Low
300.2976116205261,251.36973139165354,71.67870450224711,8,1,133,1,Low
233.49151792510446,181.65754176671663,77.12033829840746,3,6,53,0,Low
409.77281878367086,504.83660983494474,48.70163662468678,22,5,133,0,Low
141.8375909071446,87.62836987261964,97.11758265958328,21,6,75,1,Low
232.738062243722,300.1939709698784,46.51753561041538,22,2,289,2,Low
347.35189154917566,263.77049719300334,79.012299384267,11,4,234,0,Low
467.7733127677726,467.5338184440935,60.03073501606487,11,0,162,0,Low
403.00258862598633,260.49530870854664,92.8237649938371,5,3,216,1,Low
229.97689583662378,430.1622608486291,32.07769487489526,6,4,162,0,Medium
176.41844193710756,114.77927004855671,92.22141342899711,2,1,108,0,Low
246.09277513224106,277.09097361165436,53.287793230784004,11,4,85,2,Low
260.8980809977149,165.3734924615514,94.65776302391602,20,4,133,1,Low
104.85655540183359,71.65881704333455,87.79649991019798,16,2,222,0,Low
186.9423592290347,209.305756353768,53.58926457227443,1,1,150,1,Low
440.7192476574058,505.61743137769514,52.29874054656824,17,4,293,0,High
253.2133604596946,250.8789229813471,60.55830217635008,4,5,251,1,Low
356.17192988077954,329.66235529662407,64.82485928251698,22,6,135,1,Low
362.26623379878896,407.63202371187674,53.32253788600966,17,6,153,0,Medium
445.3520113022985,873.1442241777213,30.60332982595444,11,5,106,0,Medium
338.04241466256804,206.07628508702862,98.42250830166365,19,1,111,1,Low
242.90575770665293,593.1428070125617,24.571393752214075,18,1,179,0,High
184.07725470990235,222.89276736867487,49.55133992448399,19,1,265,1,High
117.37381777359091,100.75984721044448,69.89320906478565,4,5,157,0,Low
